family,experiment,fold,outer_val_season,train_n,val_n,feature_count,selected_iterations,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias,changed_team_n,changed_team_mae,changed_team_bias,same_team_n,same_team_mae,same_team_bias
Combined_2017plus,C1_all_market,1,2020-2021,3252,834,26,317,17.12139039998874,2.3382521719847404,3.3596173239393705,0.48228952528608415,0.03013009099040554,92,6.035531224046103,-5.489055977549977,31,8.309928331834216,-7.919839487862432,13,9.330316802842189,-9.330316802842189,55,2.4460630685236584,0.8155164312427052,779,2.330640362858116,-0.025320805946534693
Combined_2017plus,C2_all_transfer,1,2020-2021,3252,834,35,308,16.234599099960178,2.3411734496162633,3.373150931347079,0.47811011922597924,0.06043316362417082,92,5.979157500841512,-5.320617492226054,31,8.09105945442442,-7.510997207754785,13,9.07543219783172,-9.07543219783172,55,2.4350364196511505,0.7111374506271754,779,2.3345464106535947,0.014491269163111447
Combined_2017plus,C3_all_external,1,2020-2021,3252,834,42,273,14.471015900024213,2.3335055207736692,3.352760994874125,0.48440046294149963,0.045135807823498936,92,5.975193464039597,-5.443735075747013,31,8.251206267460168,-7.7521120092276785,13,9.34608316521055,-9.307938523250044,55,2.4628940221836775,0.7879317003022183,779,2.3243702607254657,-0.0073080613502232005
Combined_2017plus,C0_Exp9Cb,2,2021-2022,4086,778,19,212,11.357524299994111,2.481577306193218,3.527740113733547,0.41021499986336163,0.10706899024795129,76,6.568650503114043,-5.759497787109303,29,8.969479745518656,-8.416292167222513,10,12.276723662693467,-11.010856249593575,99,3.0197620231090783,0.08796850558099382,679,2.4031085477621867,0.10985389154696273
Combined_2017plus,C1_all_market,2,2021-2022,4086,778,26,287,16.53681299998425,2.471608532783621,3.491393448930239,0.4223056214387635,0.0963228291188134,76,6.542629651032596,-5.727870548672462,29,8.816167725162657,-8.288754611735218,10,12.068498351560546,-10.983052234284248,99,3.007493508161675,0.050080910807950574,679,2.393475082765318,0.10306502339388765
Combined_2017plus,C2_all_transfer,2,2021-2022,4086,778,35,267,14.21641550003551,2.4774100059094706,3.5471583285577024,0.40370426413514227,0.10348877938380652,76,6.559628226396794,-5.809075069360299,29,8.868020182090488,-8.516659795669037,10,11.866901227513443,-11.629666648694371,99,2.9646556894050784,-0.06159977655761772,679,2.4063682935883146,0.1275591284827771
Combined_2017plus,C3_all_external,2,2021-2022,4086,778,42,320,16.738693899998907,2.464126895917912,3.5078819852410468,0.4168362710711494,0.1070920194545823,76,6.452431236109056,-5.778069627795537,29,8.715432768777157,-8.512934011216196,10,11.71568535749158,-11.71568535749158,99,2.9134069871902346,-0.07212021568921945,679,2.398620667588075,0.13322163842252985
Combined_2017plus,C0_Exp9Cb,3,2022-2023,4864,738,19,165,7.976598199980799,2.3352565348925176,3.4079253626628025,0.46578558186667285,-0.06788261079373685,78,6.645774406193626,-6.512820839697436,31,8.298841884761986,-8.014403353935556,8,12.00787596052238,-11.536137228502293,103,2.4216996492836818,0.30047791748916775,635,2.321235053345604,-0.12763242876718434
Combined_2017plus,C1_all_market,3,2022-2023,4864,738,26,190,9.60503959999187,2.312542993632931,3.377981226921203,0.47513221326513444,-0.06142278010445687,78,6.5266282125724455,-6.437149590101521,31,8.17759096132551,-7.9785942379055745,8,11.424842116239804,-10.962622683993224,103,2.3987812423182784,0.304713634305173,635,2.2985547422713712,-0.12081183630003461
Combined_2017plus,C2_all_transfer,3,2022-2023,4864,738,35,261,13.358193899970502,2.325075660522593,3.3916405432810888,0.4708788857635119,-0.053123080013759205,78,6.529266098719458,-6.330504246213879,31,8.152580410165053,-7.69605847279302,8,11.825214321599038,-10.855447801368879,103,2.387824750155374,0.24907060658220057,635,2.314897461731764,-0.10214032366633216
