threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.58,0.9004376367614879,0.7655708645556362,0.7794185118294628,0.6576576576576577,0.5793650793650794,0.6160337552742616,0.933997509339975,0.9517766497461929,0.9428032683846638,73,53,38,750,Logistic_ModelA,1,2020-2021
0.59,0.9015317286652079,0.7795403271291597,0.7871646795827124,0.652542372881356,0.6111111111111112,0.6311475409836066,0.9384422110552764,0.9479695431472082,0.9431818181818182,77,49,41,747,Logistic_ModelA,1,2020-2021
0.6,0.899343544857768,0.7816050277979212,0.7854022049816252,0.639344262295082,0.6190476190476191,0.6290322580645161,0.9393939393939394,0.9441624365482234,0.9417721518987342,78,48,44,744,Logistic_ModelA,1,2020-2021
0.61,0.8971553610503282,0.7870034646684393,0.7851004012046143,0.625,0.6349206349206349,0.6299212598425197,0.9414758269720102,0.9390862944162437,0.940279542566709,80,46,48,740,Logistic_ModelA,1,2020-2021
0.62,0.8905908096280087,0.7831963580694545,0.7758045525902668,0.5970149253731343,0.6349206349206349,0.6153846153846154,0.941025641025641,0.9314720812182741,0.9362244897959183,80,46,54,734,Logistic_ModelA,1,2020-2021
0.63,0.887308533916849,0.7846265409717186,0.7727109211844663,0.5827338129496403,0.6428571428571429,0.6113207547169811,0.9419354838709677,0.9263959390862944,0.9341010876519513,81,45,58,730,Logistic_ModelA,1,2020-2021
0.64,0.888402625820569,0.7952622673434856,0.7783768363999429,0.5833333333333334,0.6666666666666666,0.6222222222222222,0.9454545454545454,0.9238578680203046,0.9345314505776636,84,42,60,728,Logistic_ModelA,1,2020-2021
0.65,0.8840262582056893,0.7960579324792523,0.7738215299566711,0.5666666666666667,0.6746031746031746,0.6159420289855072,0.9463350785340314,0.9175126903553299,0.9317010309278351,85,41,65,723,Logistic_ModelA,1,2020-2021
0.66,0.8851203501094091,0.8100273950527758,0.7805070499845621,0.5668789808917197,0.7063492063492064,0.6289752650176679,0.9511228533685601,0.9137055837563451,0.9320388349514563,89,37,68,720,Logistic_ModelA,1,2020-2021
0.67,0.8796498905908097,0.8068548062202885,0.7733134920634921,0.5493827160493827,0.7063492063492064,0.6180555555555556,0.9507978723404256,0.9073604060913706,0.9285714285714286,89,37,73,715,Logistic_ModelA,1,2020-2021
0.68,0.8763676148796499,0.8082849891225525,0.7703594179053039,0.5389221556886228,0.7142857142857143,0.6143344709897611,0.9518072289156626,0.9022842639593909,0.9263843648208469,90,36,77,711,Logistic_ModelA,1,2020-2021
0.69,0.87527352297593,0.8143179437595681,0.7714699302539808,0.5348837209302325,0.7301587301587301,0.6174496644295302,0.954177897574124,0.8984771573604061,0.9254901960784314,92,34,80,708,Logistic_ModelA,1,2020-2021
0.7,0.87527352297593,0.8276528885665941,0.7762747674628327,0.5333333333333333,0.7619047619047619,0.6274509803921569,0.9591280653950953,0.8934010152284264,0.9250985545335085,96,30,84,704,Logistic_ModelA,1,2020-2021
0.71,0.8698030634573304,0.8278140359358634,0.7706302259618933,0.5187165775401069,0.7698412698412699,0.6198083067092651,0.9601100412654745,0.8857868020304569,0.9214521452145215,97,29,90,698,Logistic_ModelA,1,2020-2021
0.72,0.8654266958424508,0.8319434372733865,0.7676016595451755,0.5076923076923077,0.7857142857142857,0.616822429906542,0.9624478442280946,0.8781725888324873,0.9183808891838089,99,27,96,692,Logistic_ModelA,1,2020-2021
0.73,0.8577680525164114,0.8275018129079043,0.7584959349593496,0.4900990099009901,0.7857142857142857,0.6036585365853658,0.9620786516853933,0.8692893401015228,0.9133333333333333,99,27,103,685,Logistic_ModelA,1,2020-2021
0.74,0.8479212253829321,0.8251248892111835,0.7483096295151663,0.4694835680751174,0.7936507936507936,0.5899705014749262,0.9629101283880172,0.8565989847715736,0.9066487575554063,100,26,113,675,Logistic_ModelA,1,2020-2021
0.75,0.8402625820568927,0.8273507372492144,0.7420375024163928,0.45535714285714285,0.8095238095238095,0.5828571428571429,0.9652173913043478,0.8451776649746193,0.9012178619756428,102,24,122,666,Logistic_ModelA,1,2020-2021
0.76,0.8391684901531729,0.8300499556844734,0.7419541940749987,0.45374449339207046,0.8174603174603174,0.5835694050991501,0.9665211062590975,0.8426395939086294,0.9003389830508475,103,23,124,664,Logistic_ModelA,1,2020-2021
0.77,0.8315098468271335,0.8256083313189913,0.7336587950348168,0.44017094017094016,0.8174603174603174,0.5722222222222222,0.9661764705882353,0.833756345177665,0.8950953678474114,103,23,131,657,Logistic_ModelA,1,2020-2021
