number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_inner_mae_std,user_attrs_inner_maes,state,outer_fold,outer_val_season
9,2.3707238867014175,2026-08-10 05:46:05.972507,2026-08-10 05:46:29.858154,0 days 00:00:23.885647,0.10773008817828811,8,0.25147010472679326,0.09684547618663013,0.7784175942174748,0.046876247157543224,"[2.325524931961318, 2.435321753197295, 2.351324974945639]",COMPLETE,2,2021-2022
10,2.3326750094923514,2026-08-10 05:46:29.861155,2026-08-10 05:46:41.840539,0 days 00:00:11.979384,0.04894497906622308,4,4.304502221734733,0.021131076146594818,0.014831119582454673,,,PRUNED,2,2021-2022
11,2.329872771195467,2026-08-10 05:46:41.843526,2026-08-10 05:46:46.865924,0 days 00:00:05.022398,0.8958490313161719,5,1.3161242389261374,0.13866059391983898,0.037715928661189765,,,PRUNED,2,2021-2022
12,2.3296337548448403,2026-08-10 05:46:46.868900,2026-08-10 05:46:53.591854,0 days 00:00:06.722954,0.5509107413456897,5,0.0738890376846542,0.14932855448857066,4.608228380158153,,,PRUNED,2,2021-2022
13,2.333250830271397,2026-08-10 05:46:53.601874,2026-08-10 05:47:00.518305,0 days 00:00:06.916431,1.22101298041755,6,0.010864978752717283,0.09232216246228883,0.10911175352312551,,,PRUNED,2,2021-2022
14,2.3329331294309177,2026-08-10 05:47:00.522308,2026-08-10 05:47:07.964013,0 days 00:00:07.441705,1.510913136081578,5,1.2251652161756128,0.1136639889214695,0.02267913275768112,,,PRUNED,2,2021-2022
0,2.398067698852351,2026-08-10 05:47:27.054404,2026-08-10 05:48:34.399683,0 days 00:01:07.345279,1.5656647399587598,5,0.036239149333817375,0.01864694911829901,0.008972112465833846,0.043149306730130635,"[2.3929157855218013, 2.347985442969988, 2.453301868065264]",COMPLETE,3,2022-2023
1,2.4060720132715687,2026-08-10 05:48:34.402680,2026-08-10 05:49:15.668200,0 days 00:00:41.265520,1.0535222829324458,8,1.6422108774231945,0.060782543916386204,0.02162392639431045,0.04053723878282802,"[2.4078694121191804, 2.355549946265131, 2.4547966814303943]",COMPLETE,3,2022-2023
2,2.403403275068322,2026-08-10 05:49:15.671207,2026-08-10 05:50:35.130747,0 days 00:01:19.459540,1.5679948011263827,7,1.9011035754999115,0.019650155848972683,0.7775729113967866,0.04913759101704649,"[2.3969583985406846, 2.3467040815841194, 2.466547345080161]",COMPLETE,3,2022-2023
3,2.3888433736948484,2026-08-10 05:50:35.133749,2026-08-10 05:51:01.945354,0 days 00:00:26.811605,1.4598196845307594,4,5.448674066106132,0.13840299724396002,0.06481750971048783,0.057363124601946466,"[2.3877241649042418, 2.3191544718789165, 2.4596514843013866]",COMPLETE,3,2022-2023
4,2.4087737345247873,2026-08-10 05:51:01.949364,2026-08-10 05:51:51.702716,0 days 00:00:49.753352,1.8735425683393465,7,0.6227788538614699,0.03848243113235904,0.2798196625513979,0.042018350209710696,"[2.405945961656217, 2.3587841638090747, 2.4615910781090706]",COMPLETE,3,2022-2023
5,2.403953645325561,2026-08-10 05:51:51.706719,2026-08-10 05:52:20.385050,0 days 00:00:28.678331,1.0871160892383394,6,0.17454609647456312,0.07713278768104695,0.004550258185916355,0.04941010355990225,"[2.3927766967283386, 2.349806499046985, 2.4692777402013597]",COMPLETE,3,2022-2023
