number,value,params_architecture,params_batch_size,params_dropout,params_learning_rate,params_weight_decay,state,user_attrs_inner_best_epochs,user_attrs_inner_mae_std,user_attrs_inner_maes,outer_fold,outer_val_season
8,2.388939301172892,128_64,32,0.3277203996740925,0.0001217320321244546,0.000309785319700096,COMPLETE,"[19, 27, 26]",0.06961966733558113,"[2.3661606311798096, 2.317375659942627, 2.4832816123962402]",3,2022-2023
9,2.3811652660369873,256_128_64,32,0.15238329866357378,0.0005623085192315939,6.857553495615283e-06,PRUNED,,,,3,2022-2023
10,2.373255491256714,128_64_32,64,0.006339734327792446,0.00010270821544664942,1.09601422472567e-06,PRUNED,,,,3,2022-2023
11,2.366156816482544,64_32,64,0.35416279906681875,0.0015341764099625632,0.006834995765379651,COMPLETE,"[5, 6, 9]",0.05509651043052399,"[2.3637447357177734, 2.2999160289764404, 2.434809684753418]",3,2022-2023
12,2.3735667864481607,64_32,64,0.2906669028653317,0.0011836077635497338,0.0016434537966059292,COMPLETE,"[5, 6, 8]",0.05672430740694056,"[2.3678395748138428, 2.3071348667144775, 2.445725917816162]",3,2022-2023
13,2.362045923868815,64_32,64,0.39936842998566485,0.0025199162660960494,0.0012066961618432761,COMPLETE,"[5, 9, 9]",0.05069754151199586,"[2.362602710723877, 2.299677848815918, 2.4238572120666504]",3,2022-2023
14,2.355350971221924,128_64_32,64,0.3965444212987478,0.0008765566651081348,0.002661191236558991,COMPLETE,"[10, 8, 6]",0.05077998337094994,"[2.361433506011963, 2.2903406620025635, 2.414278745651245]",3,2022-2023
0,2.3729979197184243,64_32,32,0.32067667106787534,0.00010182022589540344,0.003726252824060066,COMPLETE,"[30, 24, 25]",0.05653179741517027,"[2.331336498260498, 2.4529218673706055, 2.33473539352417]",4,2023-2024
1,2.355940898259481,64_32,32,0.31883676606499267,0.0006738466716962448,0.0009400748489652,COMPLETE,"[8, 2, 17]",0.05786862913457349,"[2.3181886672973633, 2.437699794769287, 2.311934232711792]",4,2023-2024
2,2.3549323081970215,128_64,32,0.021452059666484627,0.0010002977071778892,0.0010074922163141908,COMPLETE,"[8, 4, 8]",0.06157949090199,"[2.3354570865631104, 2.4381790161132812, 2.291160821914673]",4,2023-2024
3,2.360886017481486,128_64,32,0.1414299217183344,0.00022620307394850036,2.526113357963245e-06,COMPLETE,"[18, 12, 9]",0.05639136254637138,"[2.331879138946533, 2.4397239685058594, 2.3110549449920654]",4,2023-2024
4,2.3695223331451416,64_32,64,0.26258559177843316,0.00037256013013645345,0.0065705000190228275,COMPLETE,"[13, 21, 17]",0.05453825117677503,"[2.331631660461426, 2.4466471672058105, 2.3302881717681885]",4,2023-2024
5,2.342801332473755,256_128_64,128,0.304762933458727,0.0006748533858320731,1.0042053308894948e-06,COMPLETE,"[9, 3, 8]",0.06225075311592199,"[2.3159663677215576, 2.4288318157196045, 2.2836058139801025]",4,2023-2024
6,2.357961893081665,128_64_32,32,0.08864504986347228,0.00017666749177562595,1.955066406054283e-05,COMPLETE,"[22, 6, 25]",0.058089105000491775,"[2.3287734985351562, 2.439058303833008, 2.306053876876831]",4,2023-2024
7,2.349230686823527,128_64,32,0.3309669054425686,0.00036222910330963406,6.66096776503139e-06,COMPLETE,"[18, 12, 33]",0.05772721088874193,"[2.318051815032959, 2.430161952972412, 2.29947829246521]",4,2023-2024
8,2.346580743789673,256_128_64,64,0.2638481737568334,0.00019639586728157417,4.562607288776586e-06,COMPLETE,"[13, 4, 18]",0.06778336998593563,"[2.324022054672241, 2.4385459423065186, 2.277174234390259]",4,2023-2024
9,2.3401002089182534,256_128_64,32,0.32323355079931426,0.00023682490551150758,0.0014386383641279198,COMPLETE,"[11, 23, 21]",0.059214082518223396,"[2.3247368335723877, 2.4190731048583984, 2.2764906883239746]",4,2023-2024
